ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
B13,Animal-powered land transport,Human transport using an animal-drawn vehicle or riding an animal,XE5WB,Low-powered passenger vehicle as mode of transport of person injured in transport event,low-powered passenger vehicle as mode of transport of person injured in transport event,"(1) a land transport motor vehicle with three wheels (usually one in front and two behind), designed primarily for on-road use. globally, most commonly used as taxis. design, construction, type of motor and registration/licensing requirements vary widely. (2) a low-powered quadricycle or other low-powered four-wheeled passenger vehicle that is not a car.",Three wheeler as mode of transport of person injured in transport related event,1,0.5546031594276428,ERC-Broader
B131,Animal-powered land transport,Human transport by riding an animal,XE5U7,Hovercraft operating on land or swamp as mode of transport of person injured in transport related event,hovercraft operating on land or swamp as mode of transport of person injured in transport related event,,,1,0.5521647930145264,ERC-Broader
B132,Animal-powered land transport,Human transport in an animal-drawn vehicle,XE5WB,Low-powered passenger vehicle as mode of transport of person injured in transport event,low-powered passenger vehicle as mode of transport of person injured in transport event,"(1) a land transport motor vehicle with three wheels (usually one in front and two behind), designed primarily for on-road use. globally, most commonly used as taxis. design, construction, type of motor and registration/licensing requirements vary widely. (2) a low-powered quadricycle or other low-powered four-wheeled passenger vehicle that is not a car.",Three wheeler as mode of transport of person injured in transport related event,1,0.565324068069458,ERC-Broader
B14,Engined cycle,Motorized vehicle without cabin,XE85A,Wheeled motor sports,wheeled motor sports,,,1,0.5199993848800659,ERC-Broader
B141,Engined cycle,"Two-, three-, or four-wheeled engined cycle transporting sitting persons without a sidecar",XE7NK,Motorcycle as mode of transport of person injured in transport related event,motorcycle as mode of transport of person injured in transport related event,"a motorcycle is a land transport motor vehicle with one or two riding saddles, usually with two-wheels in-line. a sidecar or trailer is considered part of the motorcycle.",Includes vehicles with one wheel at the rear and two closely-spaced steerable wheels at the front and motorised tricycles (one wheel at the front) if registered as motor-cycles,1,0.7645655274391174,Equivalent
B142,Engined cycle,Engined cycle with a sidecar,XE94Q,Pedal cycle,pedal cycle,,,1,0.5463868379592896,ERC-Broader
B143,Engined cycle,Electrically powered device to transport standing or sitting persons,XE7NK,Motorcycle as mode of transport of person injured in transport related event,motorcycle as mode of transport of person injured in transport related event,"a motorcycle is a land transport motor vehicle with one or two riding saddles, usually with two-wheels in-line. a sidecar or trailer is considered part of the motorcycle.",Includes vehicles with one wheel at the rear and two closely-spaced steerable wheels at the front and motorised tricycles (one wheel at the front) if registered as motor-cycles,1,0.5998654365539551,ERC-Broader
B15,Passenger vehicle,Motor vehicle for the carriage of passengers in cabins on roads,XE50Z,Passenger car,passenger car,,,1,0.7137906551361084,ERC-Narrower
B151,Passenger vehicle,Three-wheeler with closed cabin,XE50Z,Passenger car,passenger car,,,1,0.5466967225074768,ERC-Broader
B152,Passenger vehicle,Passenger vehicle with a minimum of four wheels for seated passengers and with up to 5 seats (including the driver),XE50Z,Passenger car,passenger car,,,1,0.7241406440734863,Equivalent
B153,Passenger vehicle,Passenger vehicle with a minimum of four wheels for seated passengers (6 to 21 seats including the driver),XE6DC,Minibus,minibus,,,1,0.7261716723442078,Equivalent
