Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Submersible,http://id.who.int/icd/entity/2107933048,Intentional self-harm by drowning or submersion while in body of water,,,,[]
Submersible,http://id.who.int/icd/entity/739286127,Intentional self-harm by drowning or submersion in swimming pool,,,,[]
Submersible,http://id.who.int/icd/entity/61486114,Accidental drowning or submersion in open sea,,,,[]
Submersible,http://id.who.int/icd/entity/1241408902,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning, water-skis",,"accident to watercraft causing drowning and submersion, water-skis",,[]
Submersible,http://id.who.int/icd/entity/1053705041,"Unintentional drowning or submersion, while in body of water, bathtub",,,,[]
Submersible,http://id.who.int/icd/entity/1246373641,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning",,water-transport-related drowning and submersion without accident to watercraft,,[]
Submersible,http://id.who.int/icd/entity/1285805551,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning, unspecified watercraft",,"water-transport-related drowning and submersion without accident to watercraft, unspecified watercraft; water-transport-related drowning and submersion without accident to watercraft, boat NOS; water-transport-related drowning and submersion without accident to watercraft NOS; water-transport-related drowning and submersion without accident to watercraft, ship NOS",,[]
Submersible,http://id.who.int/icd/entity/1599814536,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning, passenger ship",,"Accident to watercraft causing drowning and submersion, passenger ship",,[]
Submersible,http://id.who.int/icd/entity/737569657,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning, fishing boat",,"accident to watercraft causing drowning and submersion, fishing boat",,[]
Submersible,http://id.who.int/icd/entity/2054134267,"Assault by drowning or submersion, while in body of water",,,,[]
Submersible,http://id.who.int/icd/entity/1109463697,"Assault by drowning or submersion, while in bathtub",,,,[]
Submersible,http://id.who.int/icd/entity/974190098,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning, merchant ship",,"Accident to watercraft causing drowning and submersion, merchant ship",,[]
Submersible,http://id.who.int/icd/entity/927431113,"Drowning or submersion while in swimming pool, undetermined intent",,,,[]
Submersible,http://id.who.int/icd/entity/788654749,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury",,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",,[]
Submersible,http://id.who.int/icd/entity/1348148590,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury, unspecified watercraft",,"accident on board watercraft without accident to watercraft, not causing drowning and submersion, unspecified watercraft; accident on board watercraft without accident to watercraft, not causing drowning and submersion, Watercraft NOS; accident on board watercraft without accident to watercraft, not causing drowning and submersion, boat NOS; accident on board watercraft without accident to watercraft, not causing drowning and submersion, ship NOS",,[]
Submersible,http://id.who.int/icd/entity/1478031597,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning, canoe or kayak",,"accident to watercraft causing drowning and submersion, canoe or kayak",,[]
Submersible,http://id.who.int/icd/entity/478106729,Drowning or submersion as a result of accidentally being washed overboard,,,,[]
Submersible,http://id.who.int/icd/entity/1633106942,"Assault by drowning or submersion, while in natural body of water",,,,[]
Submersible,http://id.who.int/icd/entity/1366249276,"Unintentional drowning or submersion, while in body of water, swimming pool",,,,[]
Submersible,http://id.who.int/icd/entity/1417743673,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning, water-skis",,"water-transport-related drowning and submersion without accident to watercraft, water-skis",,[]
Submersible,http://id.who.int/icd/entity/1958774384,"Assault by drowning or submersion, while in swimming pool",,,,[]
Submersible,http://id.who.int/icd/entity/1090285825,Drowning and submersion following fall into natural water,,,,[]
Submarine,http://id.who.int/icd/entity/722031640,Submarine or related craft,,,,[]
Submarine,http://id.who.int/icd/entity/965022387,Submarine as mode of transport of person injured in transport related event,,,,[]
Roof,http://id.who.int/icd/entity/1855032483,Orbital roof,,,,[]
Roof,http://id.who.int/icd/entity/70261446,Palate,,"Mouth - palate; Roof of mouth; Palate, NOS",,[]
Roof,http://id.who.int/icd/entity/175109207,Fracture of orbital roof,,,,[]
Roof,http://id.who.int/icd/entity/1881533064,Malignant neoplasms of palate,,hard palate cancer; primary malignant neoplasm of hard palate; primary malignant neoplasm of soft palate; soft palate cancer; uvular cancer; primary malignant neoplasm of uvula; cancer of palate; primary malignant neoplasm of palate; malignant tumour of palate; malignant tumour of roof of mouth; malignant neoplasm of upper or lower labial sulcus,,[]
